tlb:dtlb_bsize,tlb:dtlb_assoc,cache:il2lat,tlb:itlb_bsize,float_exec_time,decode:width,cache:dl1_assoc,cache:dl1_bsize,tlb:itlb_assoc,res:fpmult,cache:il1lat,cache:dl1lat,tlb:dtlb,mcf_execution_time,mem:width,res:imult,cache:dl1,bpred:btb,cache:dl2,cache:il1,cache:il2,cache:dl2_bsize,cache:dl2_assoc,cache:il1_repl,cache:il1_assoc,tlb:dtlb_repl,cache:dl1_nsets,config,tlb:itlb,lsq:size,cache:dl2lat,cache:dl2_repl,mcf_ipc,cache:il1_bsize,issue:inorder,bpred ,tlb:dtlb_nsets,ruu:size,res:fpalu,issue:width,cache:dl1_repl,tlb:itlb_repl,cache:dl2_nsets,res:ialu,milc_execution_time,bpred:ras,int_exec_time,tlb:itlb_nsets,milc_ipc,cache:il1_nsets
4096,4,2,4096,0.000396976052257,4,4,16,4,4,1,1,32:4096:4:r,0.000292718624222,8,4,1024:16:4:l,512,256:128:8:l,1024:16:4:l,not found,128,8,l,4,r,1024,6k7ifmhrzt126ga4ivm1ruz9cmgwbuse.cfg,16:4096:4:r,16,2,l,1.3665,16,false,bimod,32,32,4,4,l,r,256,4,0.000350201505866,16,0.00038263520979,16,1.1422,1024
4096,4,2,4096,0.000419168658315,4,2,64,4,4,1,1,32:4096:4:r,0.000245218440412,8,4,512:64:2:l,512,512:512:4:l,512:64:2:l,not found,512,4,l,2,r,512,r1wu2hx191uwh7rfxhgxo1rrouqvm0gj.cfg,16:4096:4:r,16,2,l,1.6312,64,false,bimod,32,32,4,4,l,r,512,4,0.000549450769231,16,0.00027957805743,16,0.7280,512
4096,4,2,4096,0.000370032326068,4,4,32,4,4,1,1,32:4096:4:r,0.000256904508671,8,4,512:32:4:l,512,256:128:8:l,512:32:4:l,not found,128,8,l,4,r,512,ixh42r2vy4b77vj63snia3k9gex1mub5.cfg,16:4096:4:r,16,2,l,1.5570,32,false,bimod,32,32,4,4,l,r,256,4,0.000321388526434,16,0.000355296251735,16,1.2446,512
4096,4,2,4096,0.000854503477102,4,4,8,4,4,1,1,32:4096:4:r,0.000462107208872,8,4,512:8:4:l,512,32:512:4:l,512:8:4:l,not found,512,4,l,4,r,512,h51av86f3yh84jxj7gdo2xershb2cg0o.cfg,16:4096:4:r,16,2,l,0.8656,8,false,bimod,32,32,4,4,l,r,32,4,0.000759157335358,16,0.000483608581365,16,0.5269,512
4096,4,2,4096,0.000390675183438,4,2,64,4,4,1,1,32:4096:4:r,0.000238906002509,8,4,128:64:2:l,512,1024:128:8:l,128:64:2:l,not found,128,8,l,2,r,128,vkr3rpwd9vxd34xanlv0viessq2tkwg5.cfg,16:4096:4:r,16,2,l,1.6743,64,false,bimod,32,32,4,4,l,r,1024,4,0.00030450682095,16,0.000244479446292,16,1.3136,128
4096,4,2,4096,0.000607601178706,4,4,8,4,4,1,1,32:4096:4:r,0.000462534690102,8,4,512:8:4:l,512,8192:128:1:l,512:8:4:l,not found,128,1,l,4,r,512,tnbcmxzxswzgksuoj5h3ka0nwkpl10lj.cfg,16:4096:4:r,16,2,l,0.8648,8,false,bimod,32,32,4,4,l,r,8192,4,0.000529941706412,16,0.000463528076849,16,0.7548,512
4096,4,2,4096,0.000895435869989,4,2,32,4,4,1,1,32:4096:4:r,0.000246472561464,8,4,256:32:2:l,512,256:1024:4:l,256:32:2:l,not found,1024,4,l,2,r,256,9b0k0gw6hayrdn9be67tzio0pbd0p48m.cfg,16:4096:4:r,16,2,l,1.6229,32,false,bimod,32,32,4,4,l,r,256,4,0.000875848828553,16,0.000253729448892,16,0.4567,256
4096,4,2,4096,0.000566232955353,4,2,8,4,4,1,1,32:4096:4:r,0.000463392029657,8,4,4096:8:2:l,512,64:256:16:l,4096:8:2:l,not found,256,16,l,2,r,4096,nnhd5ckllqkfci1rrebgfst9ia2qaov9.cfg,16:4096:4:r,16,2,l,0.8632,8,false,bimod,32,32,4,4,l,r,64,4,0.000599790073474,16,0.000483282481446,16,0.6669,4096
4096,4,2,4096,0.000717142179281,4,2,16,4,4,1,1,32:4096:4:r,0.000288517022504,8,4,512:16:2:l,512,64:512:8:l,512:16:2:l,not found,512,8,l,2,r,512,ty6gdk1gawky2q9fjswqyjz62thwlfnh.cfg,16:4096:4:r,16,2,l,1.3864,16,false,bimod,32,32,4,4,l,r,64,4,0.000585823315759,16,0.000320606787474,16,0.6828,512
4096,4,2,4096,0.0126933050853,4,2,8,4,4,1,1,32:4096:4:r,0.0869565217391,8,4,4096:8:2:l,512,128:512:1:l,4096:8:2:l,not found,512,1,l,2,r,4096,h4o8ec43g9usj1765v7hxe5ftlqmx5qa.cfg,16:4096:4:r,16,2,l,0.0046,8,false,bimod,32,32,4,4,l,r,128,4,0.148148148148,16,0.0096192956747,16,0.0027,4096
