tlb:dtlb_bsize,tlb:dtlb_assoc,cache:il2lat,tlb:itlb_bsize,float_exec_time,decode:width,cache:dl1_assoc,cache:dl1_bsize,tlb:itlb_assoc,res:fpmult,cache:il1lat,cache:dl1lat,tlb:dtlb,mcf_execution_time,mem:width,res:imult,cache:dl1,bpred:btb,cache:dl2,cache:il1,cache:il2,cache:dl2_bsize,cache:dl2_assoc,cache:il1_repl,cache:il1_assoc,tlb:dtlb_repl,cache:dl1_nsets,config,tlb:itlb,lsq:size,cache:dl2lat,cache:dl2_repl,mcf_ipc,cache:il1_bsize,issue:inorder,bpred ,tlb:dtlb_nsets,ruu:size,res:fpalu,issue:width,cache:dl1_repl,tlb:itlb_repl,cache:dl2_nsets,res:ialu,milc_execution_time,bpred:ras,int_exec_time,tlb:itlb_nsets,milc_ipc,cache:il1_nsets
4096,4,2,4096,0.000429535912471,1,2,32,4,4,1,1,32:4096:4:r,0.000257998245614,8,4,256:32:2:l,512,1024:128:8:l,256:32:2:l,not found,128,8,l,2,r,256,5n4uhqph2zcebe4hiuyf7e8wmboraxiv.cfg,16:4096:4:r,16,2,l,1.5504,32,false,2lev,32,32,4,4,l,r,1024,4,0.000306607634524,16,0.000251630766158,16,1.3046,256
4096,4,2,4096,0.00066375223559,1,2,16,4,8,1,1,32:4096:4:r,0.000351909474482,8,8,512:16:2:l,512,1024:256:4:l,512:16:2:l,not found,256,4,l,2,r,512,9jqh9eya67pdlyd7kgq2xeldt9skurg9.cfg,16:4096:4:r,32,2,l,1.3853,16,false,2lev,32,64,8,8,l,r,1024,8,0.000485654512851,16,0.000330180475506,16,1.0038,512
4096,4,2,4096,0.000644019447375,16,2,16,4,2,1,1,32:4096:4:r,0.000309651332739,8,2,512:16:2:l,512,512:512:4:l,512:16:2:l,not found,512,4,l,2,r,512,i3f6y3uvwwsgpvnr9ji454v7fqxiyqdr.cfg,16:4096:4:r,8,2,l,1.0092,16,false,2lev,32,16,2,2,l,r,512,2,0.000555753156678,16,0.000276087701597,16,0.5623,512
4096,4,2,4096,0.000652965501567,1,2,16,4,2,1,1,32:4096:4:r,0.000304284444985,8,2,512:16:2:l,512,256:512:8:l,512:16:2:l,not found,512,8,l,2,r,512,x11oapivdyiu0sd77vc3qufmj00vbvbk.cfg,16:4096:4:r,8,2,l,1.0270,16,false,bimod,32,16,2,2,l,r,256,2,0.000560337322933,16,0.000280276366101,16,0.5577,512
4096,4,2,4096,0.000418914713373,16,2,32,4,2,1,1,32:4096:4:r,0.000306192803253,8,2,256:32:2:l,512,2048:128:4:l,256:32:2:l,not found,128,4,l,2,r,256,nbip91kzkd0yc4qpw8d4li8uma0l4na1.cfg,16:4096:4:r,8,2,l,1.0206,32,false,2lev,32,16,2,2,l,r,2048,2,0.000365882507903,16,0.000270023594185,16,0.8541,256
4096,4,2,4096,0.000459032116284,1,2,16,4,2,1,1,32:4096:4:r,0.000312593903171,8,2,512:16:2:l,512,1024:128:8:l,512:16:2:l,not found,128,8,l,2,r,512,8akv56uw9cwkpr6dg43e2gqhsk2tuj3a.cfg,16:4096:4:r,8,2,l,0.9997,16,false,2lev,32,16,2,2,l,r,1024,2,0.000366139425893,16,0.000277823400767,16,0.8535,512
4096,4,2,4096,0.000653285337953,8,2,16,4,8,1,1,32:4096:4:r,0.000329058518394,8,8,512:16:2:l,512,1024:256:4:l,512:16:2:l,not found,256,4,l,2,r,512,3ci3kuprum56nklq7wcxv9bpcgrub30z.cfg,16:4096:4:r,32,2,l,1.4815,16,false,bimod,32,64,8,8,l,r,1024,8,0.00048238670097,16,0.000332853576664,16,1.0106,512
4096,4,2,4096,0.00056145643893,16,2,32,4,8,1,1,32:4096:4:r,0.000264285256966,8,8,256:32:2:l,512,1024:256:4:l,256:32:2:l,not found,256,4,l,2,r,256,txx1y6dd10xj9ym1p056hpem5ahg9199.cfg,16:4096:4:r,32,2,l,1.8446,32,false,2lev,32,64,8,8,l,r,1024,8,0.000416524598428,16,0.000268453442048,16,1.1704,256
4096,4,2,4096,0.000488284035142,4,2,32,4,4,1,1,32:4096:4:r,0.000241327589744,8,4,256:32:2:l,512,1024:256:4:l,256:32:2:l,not found,256,4,l,2,r,256,v6bkevl1kky3bf6l4qhlnb7wd290qope.cfg,16:4096:4:r,16,2,l,1.6575,32,false,bimod,32,32,4,4,l,r,1024,4,0.000383840629498,16,0.000249308537085,16,1.0421,256
4096,4,2,4096,0.000424187994165,16,2,32,4,2,1,1,32:4096:4:r,0.000295704366957,8,2,256:32:2:l,512,2048:128:4:l,256:32:2:l,not found,128,4,l,2,r,256,yqu47zctopz75oz4aaq5zmusbremzzje.cfg,16:4096:4:r,8,2,l,1.0568,32,false,bimod,32,16,2,2,l,r,2048,2,0.000363583769634,16,0.000270675960794,16,0.8595,256
4096,4,2,4096,0.000476084663454,8,2,16,4,4,1,1,32:4096:4:r,0.000312720006254,8,4,512:16:2:l,512,2048:128:4:l,512:16:2:l,not found,128,4,l,2,r,512,vwmzfefkm8l2hnh1d4c5bfls5ymso18w.cfg,16:4096:4:r,16,2,l,1.2791,16,false,2lev,32,32,4,4,l,r,2048,4,0.000337980566117,16,0.00028373117397,16,1.1835,512
4096,4,2,4096,0.000757150236548,16,2,32,4,8,1,1,32:4096:4:r,0.00026959054637,8,8,256:32:2:l,512,256:512:8:l,256:32:2:l,not found,512,8,l,2,r,256,ge2dbfaj93h0ou8xbakvb7z85p05i5qk.cfg,16:4096:4:r,32,2,l,1.8083,32,false,2lev,32,64,8,8,l,r,256,8,0.000626687736213,16,0.00027094503338,16,0.7779,256
4096,4,2,4096,0.000471101052271,16,2,32,4,8,1,1,32:4096:4:r,0.000267328682277,8,8,256:32:2:l,512,1024:128:8:l,256:32:2:l,not found,128,8,l,2,r,256,wots507bv8hhdudgh3hmz5ene5pkzliw.cfg,16:4096:4:r,32,2,l,1.8236,32,false,2lev,32,64,8,8,l,r,1024,8,0.000320618474186,16,0.000269387079678,16,1.5205,256
4096,4,2,4096,0.00065504184022,4,2,32,4,4,1,1,32:4096:4:r,0.000257168882603,8,4,256:32:2:l,512,512:512:4:l,256:32:2:l,not found,512,4,l,2,r,256,abhldn9hzq5v96cj3yuqpim7nzlj9zdb.cfg,16:4096:4:r,16,2,l,1.5554,32,false,2lev,32,32,4,4,l,r,512,4,0.000549677504466,16,0.000251060840365,16,0.7277,256
4096,4,2,4096,0.000615080807636,2,2,32,4,2,1,1,32:4096:4:r,0.000296602481967,8,2,256:32:2:l,512,256:512:8:l,256:32:2:l,not found,512,8,l,2,r,256,il442u6c2ravlkacvw2t3tsw3exdd0xz.cfg,16:4096:4:r,8,2,l,1.0536,32,false,bimod,32,16,2,2,l,r,256,2,0.000558435042888,16,0.000272679739792,16,0.5596,256
4096,4,2,4096,0.000558603754027,2,2,16,4,8,1,1,32:4096:4:r,0.000332583022923,8,8,512:16:2:l,512,1024:128:8:l,512:16:2:l,not found,128,8,l,2,r,512,q696lq12lrshroyt32wwx7ckp41narqw.cfg,16:4096:4:r,32,2,l,1.4658,16,false,bimod,32,64,8,8,l,r,1024,8,0.000386567282531,16,0.000334097562406,16,1.2611,512
4096,4,2,4096,0.000450366337959,16,2,16,4,2,1,1,32:4096:4:r,0.000303074507807,8,2,512:16:2:l,512,2048:128:4:l,512:16:2:l,not found,128,4,l,2,r,512,ku3472nlavq7cc1k6jvgfkpn5yi9m6hm.cfg,16:4096:4:r,8,2,l,1.0311,16,false,bimod,32,16,2,2,l,r,2048,2,0.000365369022565,16,0.000277433147025,16,0.8553,512
