tlb:dtlb_bsize,tlb:dtlb_assoc,cache:il2lat,tlb:itlb_bsize,float_exec_time,decode:width,cache:dl1_assoc,cache:dl1_bsize,tlb:itlb_assoc,res:fpmult,cache:il1lat,cache:dl1lat,tlb:dtlb,mcf_execution_time,mem:width,res:imult,cache:dl1,bpred:btb,cache:dl2,cache:il1,cache:il2,cache:dl2_bsize,cache:dl2_assoc,cache:il1_repl,cache:il1_assoc,tlb:dtlb_repl,cache:dl1_nsets,config,tlb:itlb,lsq:size,cache:dl2lat,cache:dl2_repl,mcf_ipc,cache:il1_bsize,issue:inorder,bpred ,tlb:dtlb_nsets,ruu:size,res:fpalu,issue:width,cache:dl1_repl,tlb:itlb_repl,cache:dl2_nsets,res:ialu,milc_execution_time,bpred:ras,int_exec_time,tlb:itlb_nsets,milc_ipc,cache:il1_nsets
4096,4,2,4096,0.000398759498946,2,2,64,4,8,1,1,32:4096:4:r,0.000248661354246,8,8,512:64:2:l,512,64:128:8:l,512:64:2:l,not found,128,8,l,2,r,512,x6668gd64x75c2q1jf5u6dlnj5siv79h.cfg,16:4096:4:r,32,2,l,1.9605,64,false,2lev,32,64,8,8,l,r,64,8,0.000337651454495,16,0.000397333177908,16,1.4438,512
4096,4,2,4096,0.000400918719314,2,2,64,4,4,1,1,32:4096:4:r,0.000248278269505,8,4,128:64:2:l,512,1024:128:8:l,128:64:2:l,not found,128,8,l,2,r,128,aj7vi50q0yivhqumq17cjzzp3bum0kke.cfg,16:4096:4:r,16,2,l,1.6111,64,false,2lev,32,32,4,4,l,r,1024,4,0.000306279448698,16,0.000299584274271,16,1.3060,128
4096,4,2,4096,0.000398981681556,2,2,64,4,8,1,1,32:4096:4:r,0.000241014774806,8,8,256:64:2:l,512,256:128:8:l,256:64:2:l,not found,128,8,l,2,r,256,gd1h0vzv8gjlcsep512mlb8yf9bx0gqc.cfg,16:4096:4:r,32,2,l,2.0227,64,false,2lev,32,64,8,8,l,r,256,8,0.000336718586821,16,0.000383624201344,16,1.4478,256
4096,4,2,4096,0.000581935502728,2,2,64,4,8,1,1,32:4096:4:r,0.000354597599651,8,8,64:64:2:l,512,512:128:8:l,64:64:2:l,not found,128,8,l,2,r,64,pcmua1f9rnm5s9oy6q9xxhj5jz1skmm3.cfg,16:4096:4:r,32,2,l,1.3748,64,false,2lev,32,64,8,8,l,r,512,8,0.000335837124552,16,0.000412038700182,16,1.4516,64
4096,4,2,4096,0.000435152079179,2,2,64,4,8,1,1,32:4096:4:r,0.000224241658234,8,8,128:64:2:l,512,512:128:8:l,128:64:2:l,not found,128,8,l,2,r,128,09qw45zlwf55gsr0a26srnmdwl6ikvjs.cfg,16:4096:4:r,32,2,l,2.1740,64,false,bimod,32,64,8,8,l,r,512,8,0.000330845324058,16,0.000360463422732,16,1.4735,128
4096,4,2,4096,0.000561558982334,2,2,64,4,8,1,1,32:4096:4:r,0.000357536325633,8,8,64:64:2:l,512,1024:128:8:l,64:64:2:l,not found,128,8,l,2,r,64,yw2pzt0o7yalzimhiw8555tczrl5h0d8.cfg,16:4096:4:r,32,2,l,1.3635,64,false,bimod,32,64,8,8,l,r,1024,8,0.00031604576013,16,0.00035675176452,16,1.5425,64
4096,4,2,4096,0.00049014163574,2,2,64,4,4,1,1,32:4096:4:r,0.000285918970693,8,4,64:64:2:l,512,64:128:8:l,64:64:2:l,not found,128,8,l,2,r,64,znq68y35tsd3tg6tgn6i6sv8bmz5pcj3.cfg,16:4096:4:r,16,2,l,1.3990,64,false,2lev,32,32,4,4,l,r,64,4,0.000318802072208,16,0.000377719530601,16,1.2547,64
4096,4,2,4096,0.000353966279205,2,2,64,4,2,1,1,32:4096:4:r,0.000293015353962,8,2,256:64:2:l,512,1024:128:8:l,256:64:2:l,not found,128,8,l,2,r,256,lifyda7vp35yt8swtu7qay34g5p8roco.cfg,16:4096:4:r,8,2,l,1.0665,64,false,bimod,32,16,2,2,l,r,1024,2,0.000361104980356,16,0.00035115433046,16,0.8654,256
4096,4,2,4096,0.000372825214601,2,2,64,4,2,1,1,32:4096:4:r,0.000292850599756,8,2,256:64:2:l,512,128:128:8:l,256:64:2:l,not found,128,8,l,2,r,256,xq8yqjjcwtduk368i4eg9zjt8jt879z6.cfg,16:4096:4:r,8,2,l,1.0671,64,false,bimod,32,16,2,2,l,r,128,2,0.000371052303491,16,0.000398061237758,16,0.8422,256
4096,4,2,4096,0.00035228893764,2,2,64,4,4,1,1,32:4096:4:r,0.000234412283169,8,4,256:64:2:l,512,64:128:8:l,256:64:2:l,not found,128,8,l,2,r,256,42b892raxk1dv21xxkyf60nvb254dx0f.cfg,16:4096:4:r,16,2,l,1.7064,64,false,bimod,32,32,4,4,l,r,64,4,0.000319132216371,16,0.000363459603953,16,1.2534,256
4096,4,2,4096,0.000488907937724,2,2,64,4,2,1,1,32:4096:4:r,0.000323499482402,8,2,64:64:2:l,512,128:128:8:l,64:64:2:l,not found,128,8,l,2,r,64,7v6uwfixm4o90rxveapudcvtj611j97t.cfg,16:4096:4:r,8,2,l,0.9660,64,false,bimod,32,16,2,2,l,r,128,2,0.000370920029674,16,0.000408130049082,16,0.8425,64
4096,4,2,4096,0.000372256712348,2,2,64,4,2,1,1,32:4096:4:r,0.000292850599756,8,2,256:64:2:l,512,64:128:8:l,256:64:2:l,not found,128,8,l,2,r,256,xzxd9n32628n7jyek1tydv7qt3qr9vkw.cfg,16:4096:4:r,8,2,l,1.0671,64,false,bimod,32,16,2,2,l,r,64,2,0.000371228617249,16,0.000397558538218,16,0.8418,256
4096,4,2,4096,0.000453951327914,2,2,64,4,8,1,1,32:4096:4:r,0.000248066652249,8,8,128:64:2:l,512,512:128:8:l,128:64:2:l,not found,128,8,l,2,r,128,2gkaax3fcsqn0k70blgha1rmkemgzvau.cfg,16:4096:4:r,32,2,l,1.9652,64,false,2lev,32,64,8,8,l,r,512,8,0.00033516752836,16,0.000368675618038,16,1.4545,128
4096,4,2,4096,0.000354204221185,2,2,64,4,4,1,1,32:4096:4:r,0.000234412283169,8,4,256:64:2:l,512,256:128:8:l,256:64:2:l,not found,128,8,l,2,r,256,1kylvjm18rll0uios7n7pn4tlk4er7wk.cfg,16:4096:4:r,16,2,l,1.7064,64,false,bimod,32,32,4,4,l,r,256,4,0.000318801562126,16,0.000358607305642,16,1.2547,256
4096,4,2,4096,0.000884973646076,1,1,8,4,1,1,1,32:4096:4:r,0.000784436774396,8,1,1024:8:1:r,512,2048:16:2:r,1024:8:1:r,not found,16,2,r,1,r,1024,base.cfg,16:4096:4:r,2,2,r,0.3187,8,true,bimod,32,4,1,1,r,r,2048,1,0.000594954783436,0,0.000972668787939,16,0.4202,1024
4096,4,2,4096,0.000505319693175,2,2,64,4,2,1,1,32:4096:4:r,0.000339121540966,8,2,64:64:2:l,512,256:128:8:l,64:64:2:l,not found,128,8,l,2,r,64,j207u4v1v5cwblizw5s7irx2m35nq11z.cfg,16:4096:4:r,8,2,l,0.9215,64,false,2lev,32,16,2,2,l,r,256,2,0.000373001014562,16,0.00040785359053,16,0.8378,64
4096,4,2,4096,0.000374706657809,2,2,64,4,2,1,1,32:4096:4:r,0.000302254449173,8,2,512:64:2:l,512,128:128:8:l,512:64:2:l,not found,128,8,l,2,r,512,4i86apm9590fc2sf4fmrakep1tpxml43.cfg,16:4096:4:r,8,2,l,1.0339,64,false,bimod,32,16,2,2,l,r,128,2,0.000372157020364,16,0.000410261110888,16,0.8397,512
4096,4,2,4096,0.000441676590981,2,2,64,4,8,1,1,32:4096:4:r,0.000222319119391,8,8,128:64:2:l,512,256:128:8:l,128:64:2:l,not found,128,8,l,2,r,128,td75o6ymxvr9183zd81o9612bx59qf7o.cfg,16:4096:4:r,32,2,l,2.1928,64,false,bimod,32,64,8,8,l,r,256,8,0.000331587937015,16,0.000374472345524,16,1.4702,128
4096,4,2,4096,0.000550122648086,2,2,64,4,8,1,1,32:4096:4:r,0.000314091089492,8,8,64:64:2:l,512,128:128:8:l,64:64:2:l,not found,128,8,l,2,r,64,q48xkv1zpsv5lr8y9dz1211s8iyrgan7.cfg,16:4096:4:r,32,2,l,1.5521,64,false,bimod,32,64,8,8,l,r,128,8,0.000332039630159,16,0.000425769382197,16,1.4682,64
4096,4,2,4096,0.000354214513368,2,2,64,4,4,1,1,32:4096:4:r,0.000244111509825,8,4,512:64:2:l,512,256:128:8:l,512:64:2:l,not found,128,8,l,2,r,512,1sg60ar13u7tral0mc9pg65roqfx0qlp.cfg,16:4096:4:r,16,2,l,1.6386,64,false,bimod,32,32,4,4,l,r,256,4,0.000319361532934,16,0.000365960713694,16,1.2525,512
4096,4,2,4096,0.000496809032939,2,2,64,4,2,1,1,32:4096:4:r,0.000332978689398,8,2,64:64:2:l,512,256:128:8:l,64:64:2:l,not found,128,8,l,2,r,64,6uns03pe0dtxlnewpmf1nxfoabc4ebgu.cfg,16:4096:4:r,8,2,l,0.9385,64,false,bimod,32,16,2,2,l,r,256,2,0.000370876008782,16,0.000407461541088,16,0.8426,64
4096,4,2,4096,0.000360585727373,2,2,64,4,4,1,1,32:4096:4:r,0.000241853268033,8,4,512:64:2:l,512,256:128:8:l,512:64:2:l,not found,128,8,l,2,r,512,xotkthza73gapqk29lv8uwl8nphfsalk.cfg,16:4096:4:r,16,2,l,1.6539,64,false,2lev,32,32,4,4,l,r,256,4,0.000320899286001,16,0.000361507878748,16,1.2465,512
4096,4,2,4096,0.000425538142347,2,2,64,4,8,1,1,32:4096:4:r,0.000226166256089,8,8,128:64:2:l,512,1024:128:8:l,128:64:2:l,not found,128,8,l,2,r,128,osot56zaafw6ns4gc53mjvcd4ev501q5.cfg,16:4096:4:r,32,2,l,2.1555,64,false,bimod,32,64,8,8,l,r,1024,8,0.000315861464948,16,0.000308037157869,16,1.5434,128
4096,4,2,4096,0.000416731020362,2,2,64,4,2,1,1,32:4096:4:r,0.000288764438181,8,2,128:64:2:l,512,64:128:8:l,128:64:2:l,not found,128,8,l,2,r,128,e0w614j68z0ayov0yczgywabat3ftaqp.cfg,16:4096:4:r,8,2,l,1.0822,64,false,bimod,32,16,2,2,l,r,64,2,0.000371891288825,16,0.000392963677677,16,0.8403,128
4096,4,2,4096,0.00036032395519,2,2,64,4,4,1,1,32:4096:4:r,0.000241838645707,8,4,512:64:2:l,512,128:128:8:l,512:64:2:l,not found,128,8,l,2,r,512,wg7x77ytpvzhyfuenmdx53ztidj7yhrn.cfg,16:4096:4:r,16,2,l,1.6540,64,false,2lev,32,32,4,4,l,r,128,4,0.000321131149647,16,0.000367248938904,16,1.2456,512
4096,4,2,4096,0.000374933653263,2,2,64,4,8,1,1,32:4096:4:r,0.00022691368693,8,8,512:64:2:l,512,128:128:8:l,512:64:2:l,not found,128,8,l,2,r,512,jcjhxp14e61n6e9bjst0o7n389oaow12.cfg,16:4096:4:r,32,2,l,2.1484,64,false,bimod,32,64,8,8,l,r,128,8,0.000332356548268,16,0.000387576626057,16,1.4668,512
4096,4,2,4096,0.000395551087405,2,2,64,4,8,1,1,32:4096:4:r,0.000248091900763,8,8,512:64:2:l,512,512:128:8:l,512:64:2:l,not found,128,8,l,2,r,512,rowv84ucqgm65xfdfqc74ictqgfjb39o.cfg,16:4096:4:r,32,2,l,1.9650,64,false,2lev,32,64,8,8,l,r,512,8,0.000336346881468,16,0.000375266476439,16,1.4494,512
4096,4,2,4096,0.00036058320991,2,2,64,4,4,1,1,32:4096:4:r,0.000238949295102,8,4,256:64:2:l,512,256:128:8:l,256:64:2:l,not found,128,8,l,2,r,256,4a8f3ifxsj7kmq01wur90c6qmxzcapkg.cfg,16:4096:4:r,16,2,l,1.6740,64,false,2lev,32,32,4,4,l,r,256,4,0.000319949576068,16,0.000357934336628,16,1.2502,256
4096,4,2,4096,0.000397015136477,2,2,64,4,8,1,1,32:4096:4:r,0.00024039675773,8,8,256:64:2:l,512,64:128:8:l,256:64:2:l,not found,128,8,l,2,r,256,9xza1phbxjux3qtnvrygnqh30t03gj58.cfg,16:4096:4:r,32,2,l,2.0279,64,false,2lev,32,64,8,8,l,r,64,8,0.000337137738589,16,0.000390524291945,16,1.4460,256
4096,4,2,4096,0.000422642004377,2,2,64,4,2,1,1,32:4096:4:r,0.000298017237269,8,2,128:64:2:l,512,256:128:8:l,128:64:2:l,not found,128,8,l,2,r,128,9dfo3hqju24rp4nwaek9izwlo1x978jx.cfg,16:4096:4:r,8,2,l,1.0486,64,false,2lev,32,16,2,2,l,r,256,2,0.000374072599952,16,0.000391043383259,16,0.8354,128
4096,4,2,4096,0.000500530685648,2,2,64,4,4,1,1,32:4096:4:r,0.000334896718017,8,4,64:64:2:l,512,1024:128:8:l,64:64:2:l,not found,128,8,l,2,r,64,z282qnq2s1fr88whraf293qfq4gklrvo.cfg,16:4096:4:r,16,2,l,1.1944,64,false,bimod,32,32,4,4,l,r,1024,4,0.000304414246575,16,0.000331193581509,16,1.3140,64
4096,4,2,4096,0.000395905975204,2,2,64,4,8,1,1,32:4096:4:r,0.000247801654552,8,8,512:64:2:l,512,128:128:8:l,512:64:2:l,not found,128,8,l,2,r,512,u1hx8dqcx5dgm6oyydqyk35yczgnrk1t.cfg,16:4096:4:r,32,2,l,1.9673,64,false,2lev,32,64,8,8,l,r,128,8,0.000337394400997,16,0.00039683992087,16,1.4449,512
4096,4,2,4096,0.000578670758985,2,2,64,4,8,1,1,32:4096:4:r,0.000336114713183,8,8,64:64:2:l,512,256:128:8:l,64:64:2:l,not found,128,8,l,2,r,64,s2domfdmf0jd3ki0y25m7wnpa86wq82s.cfg,16:4096:4:r,32,2,l,1.4504,64,false,2lev,32,64,8,8,l,r,256,8,0.000336695331169,16,0.00042199467367,16,1.4479,64
4096,4,2,4096,0.000511156984766,2,2,64,4,4,1,1,32:4096:4:r,0.000313824446885,8,4,64:64:2:l,512,256:128:8:l,64:64:2:l,not found,128,8,l,2,r,64,0wubkktoq4fb3hr8x7b3ognhf8gvvkch.cfg,16:4096:4:r,16,2,l,1.2746,64,false,2lev,32,32,4,4,l,r,256,4,0.000318802072208,16,0.000384039128818,16,1.2547,64
4096,4,2,4096,0.000399694608665,2,2,64,4,8,1,1,32:4096:4:r,0.000241372770709,8,8,256:64:2:l,512,512:128:8:l,256:64:2:l,not found,128,8,l,2,r,256,vz90r7084j68787w0b3qhnfbh0rs7pti.cfg,16:4096:4:r,32,2,l,2.0197,64,false,2lev,32,64,8,8,l,r,512,8,0.000336045474598,16,0.000368701897738,16,1.4507,256
4096,4,2,4096,0.000375833494939,2,2,64,4,2,1,1,32:4096:4:r,0.000302049946839,8,2,256:64:2:l,512,512:128:8:l,256:64:2:l,not found,128,8,l,2,r,256,zhfce3bqtxdoxo2xhcqjqhplm8ikmzmh.cfg,16:4096:4:r,8,2,l,1.0346,64,false,2lev,32,16,2,2,l,r,512,2,0.000372511920372,16,0.000386074110042,16,0.8389,256
4096,4,2,4096,0.000378481655089,2,2,64,4,2,1,1,32:4096:4:r,0.000308764079636,8,2,512:64:2:l,512,64:128:8:l,512:64:2:l,not found,128,8,l,2,r,512,gh0xd48m4yxkhovcbcgqnvk8funobx0e.cfg,16:4096:4:r,8,2,l,1.0121,64,false,2lev,32,16,2,2,l,r,64,2,0.000374700539568,16,0.000410667640446,16,0.8340,512
4096,4,2,4096,0.00037426346282,2,2,64,4,2,1,1,32:4096:4:r,0.0002929604153,8,2,256:64:2:l,512,512:128:8:l,256:64:2:l,not found,128,8,l,2,r,256,6xz3yyg80znce292hul689ziwjbhq5ji.cfg,16:4096:4:r,8,2,l,1.0667,64,false,bimod,32,16,2,2,l,r,512,2,0.000370480438648,16,0.000383938587026,16,0.8435,256
4096,4,2,4096,0.000358933516174,2,2,64,4,4,1,1,32:4096:4:r,0.000236142109924,8,4,256:64:2:l,512,64:128:8:l,256:64:2:l,not found,128,8,l,2,r,256,nrp5wz04lu3ladc38qxl13s7y10bpksd.cfg,16:4096:4:r,16,2,l,1.6939,64,false,2lev,32,32,4,4,l,r,64,4,0.000320205699648,16,0.000361514972312,16,1.2492,256
4096,4,2,4096,0.000405263390513,2,2,64,4,4,1,1,32:4096:4:r,0.000239092121937,8,4,128:64:2:l,512,64:128:8:l,128:64:2:l,not found,128,8,l,2,r,128,n024g2hqi8gb5kpbm6bbudxx6w8h10wf.cfg,16:4096:4:r,16,2,l,1.6730,64,false,2lev,32,32,4,4,l,r,64,4,0.000319209129359,16,0.000358656580296,16,1.2531,128
4096,4,2,4096,0.000494985818102,2,2,64,4,2,1,1,32:4096:4:r,0.000353107909605,8,2,64:64:2:l,512,1024:128:8:l,64:64:2:l,not found,128,8,l,2,r,64,6rq81fcz5dh67q6jcpug96so945p9jdw.cfg,16:4096:4:r,8,2,l,0.8850,64,false,bimod,32,16,2,2,l,r,1024,2,0.000360854647806,16,0.000369471050037,16,0.8660,64
4096,4,2,4096,0.000374998922988,2,2,64,4,2,1,1,32:4096:4:r,0.000302312929283,8,2,512:64:2:l,512,512:128:8:l,512:64:2:l,not found,128,8,l,2,r,512,fo7fdbvn38fc6a0ftx3kjn6luzjn0tmz.cfg,16:4096:4:r,8,2,l,1.0337,64,false,bimod,32,16,2,2,l,r,512,2,0.000371449245216,16,0.000396088807895,16,0.8413,512
