tlb:dtlb_bsize,tlb:dtlb_assoc,cache:il2lat,tlb:itlb_bsize,float_exec_time,decode:width,cache:dl1_assoc,cache:dl1_bsize,tlb:itlb_assoc,res:fpmult,cache:il1lat,cache:dl1lat,tlb:dtlb,mcf_execution_time,mem:width,res:imult,cache:dl1,bpred:btb,cache:dl2,cache:il1,cache:il2,cache:dl2_bsize,cache:dl2_assoc,cache:il1_repl,cache:il1_assoc,tlb:dtlb_repl,cache:dl1_nsets,config,tlb:itlb,lsq:size,cache:dl2lat,cache:dl2_repl,mcf_ipc,cache:il1_bsize,issue:inorder,bpred ,tlb:dtlb_nsets,ruu:size,res:fpalu,issue:width,cache:dl1_repl,tlb:itlb_repl,cache:dl2_nsets,res:ialu,milc_execution_time,bpred:ras,int_exec_time,tlb:itlb_nsets,milc_ipc,cache:il1_nsets
4096,4,2,4096,0.000709239722107,8,2,64,4,4,1,1,32:4096:4:r,0.000615554423501,8,4,512:64:2:r,512,1024:256:4:l,512:64:2:r,not found,256,4,r,2,r,512,w5ms3lohwuuqbzky1oy8ncxovxbwadhz.cfg,16:4096:4:r,16,2,l,0.5889,64,true,bimod,32,32,4,4,r,r,1024,4,0.000755995828989,16,0.000729620163326,16,0.4795,512
4096,4,2,4096,0.000348987160263,2,2,64,4,4,1,1,32:4096:4:r,0.000243695089558,8,4,512:64:2:l,512,512:256:8:l,512:64:2:l,not found,256,8,l,2,r,512,653f6e81h4drkohupp2mq1s4afc16lbx.cfg,16:4096:4:r,16,2,l,1.6414,64,false,bimod,32,32,4,4,l,r,512,4,0.000384135522904,16,0.000299803253588,16,1.0413,512
4096,4,2,4096,0.00076608943715,2,2,32,4,4,1,1,32:4096:4:r,0.000572760309686,8,4,256:32:2:l,512,1024:256:4:l,256:32:2:l,not found,256,4,l,2,r,256,i191wq7tyxa2mvyipiejp7x33x46eecl.cfg,16:4096:4:r,16,2,l,0.6329,32,true,bimod,32,32,4,4,l,r,1024,4,0.000740854281627,16,0.000661254333033,16,0.4893,256
4096,4,2,4096,0.000719525239137,2,2,64,4,4,1,1,32:4096:4:r,0.00061586816174,8,4,512:64:2:r,512,512:256:8:r,512:64:2:r,not found,256,8,r,2,r,512,y39phylo8gjxngd3dl7laccl3eymj5c1.cfg,16:4096:4:r,16,2,r,0.5886,64,true,bimod,32,32,4,4,r,r,512,4,0.000749121719364,16,0.000745928376595,16,0.4839,512
4096,4,2,4096,0.000475582708219,4,2,64,4,4,1,1,32:4096:4:r,0.000246275778845,8,4,128:64:2:l,512,512:256:8:l,128:64:2:l,not found,256,8,l,2,r,128,b4nufhxlcwhh6j4zon6xi9qq9b51fe1c.cfg,16:4096:4:r,16,2,l,1.6242,64,false,2lev,32,32,4,4,l,r,512,4,0.000383914924657,16,0.000288357755994,16,1.0419,128
4096,4,2,4096,0.000469105541267,4,2,32,4,4,1,1,32:4096:4:r,0.00024140041038,8,4,256:32:2:r,512,1024:128:8:l,256:32:2:r,not found,128,8,r,2,r,256,l49jyjvostqnjeplnq5iinh0c4c9glfa.cfg,16:4096:4:r,16,2,l,1.6570,32,false,bimod,32,32,4,4,r,r,1024,4,0.000305834024008,16,0.000312320351558,16,1.3079,256
4096,4,2,4096,0.000409165856644,2,2,64,4,4,1,1,32:4096:4:r,0.000248447900621,8,4,128:64:2:l,512,1024:128:8:r,128:64:2:l,not found,128,8,l,2,r,128,cdt4px1lxbgu6khrfslx1jmdokn3fd6s.cfg,16:4096:4:r,16,2,r,1.6100,64,false,2lev,32,32,4,4,l,r,1024,4,0.000304067624477,16,0.000321467070015,16,1.3155,128
4096,4,2,4096,0.000391869981471,4,2,32,4,4,1,1,32:4096:4:r,0.000246138994523,8,4,1024:32:2:r,512,512:256:8:r,1024:32:2:r,not found,256,8,r,2,r,1024,aizqm8uke4brzpslg3gf2ebybkunkcc3.cfg,16:4096:4:r,16,2,r,1.6251,32,false,bimod,32,32,4,4,r,r,512,4,0.000380120041813,16,0.000323449010095,16,1.0523,1024
4096,4,2,4096,0.000363899165665,2,2,32,4,4,1,1,32:4096:4:r,0.000249097322207,8,4,1024:32:2:l,512,512:256:8:l,1024:32:2:l,not found,256,8,l,2,r,1024,kgzs34mle1dnoizbkuvmgps6uw6kt61t.cfg,16:4096:4:r,16,2,l,1.6058,32,false,2lev,32,32,4,4,l,r,512,4,0.000386623158709,16,0.000301482988202,16,1.0346,1024
4096,4,2,4096,0.00034312811546,8,2,32,4,4,1,1,32:4096:4:r,0.000246033017591,8,4,1024:32:2:r,512,2048:128:4:r,1024:32:2:r,not found,128,4,r,2,r,1024,knof0xrn2g161f33qmgfq32fn9zai2uy.cfg,16:4096:4:r,16,2,r,1.6258,32,false,bimod,32,32,4,4,r,r,2048,4,0.000307267107083,16,0.000329265624469,16,1.3018,1024
